Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
West Bank and Gaza,PSE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,21.9,21.1,20.3,19.6,21.9,18.2,17.5,16.9,16.3,15.7,15.2
West Bank and Gaza,PSE,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.223,67.412,67.569,67.961,68.003,66.761,67.105,67.12,65.915,66.567,66.435
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,1155.20305261418,1186.47500581215,1245.05068272078,1378.75002954928,1430.16420964026,1362.1738120601,975.359417003225,811.165970405745,633.887202451545,..,..
"Yemen, Rep.",YEM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.15932894,4.7695322,5.19593525,4.96083164,5.8377471,6.49017286,7.71249437,8.14723873,9.08948231,10.97374439,11.6478138
"Yemen, Rep.",YEM,"School enrollment, primary (% gross)",SE.PRM.ENRR,77.8557586669922,80.8095016479492,79.963249206543,82.0730895996094,..,..,76.9753799438477,..,..,..,..
"Yemen, Rep.",YEM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,68,66,63,68,64,61,62,56,53,54,53
"Yemen, Rep.",YEM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,55,53.1,51.6,49.6,48.7,49.3,47.9,47.5,47.3,46.1,43.4
"Yemen, Rep.",YEM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,26754387,27582897,28433647,29312952,30226309,31159379,32109010,33090921,34085182,35111408,36134863
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.896,57.843,58.704,59.445,60.109,60.728,61.129,61.564,62.138,62.914,63.361
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1451.10616017155,1624.86817763443,1710.05061343728,1820.71854827391,1707.48573136694,1295.87788680068,1239.08527877713,1483.46577328065,1463.89997855593,1258.98619844462,951.644316655957
Zambia,ZMB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.13426876,3.95913363,4.04541731,4.57390451,3.82924223,4.42974281,4.46923161,4.78156233,4.76996708,6.75330257,6.3067441
Zambia,ZMB,"School enrollment, primary (% gross)",SE.PRM.ENRR,109.873668045679,111.4007333775,111.618507192772,105.88755640154,107.06889082465,103.413818253854,99.5715577511118,98.7950035279193,..,..,..
Zambia,ZMB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,83,82,80,85,90,97,96,94,93,96
Zambia,ZMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,74.3,71.8,69.2,66,62.6,60.2,57.1,55.2,54.7,53.5,52.5
Zambia,ZMB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,11.7,11.7,11.8,11.8,11.9,11.9,11.8,11.8,11.7,11.5,11.1
Zambia,ZMB,"Population, total",SP.POP.TOTL,13965594,14437796,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513839,19059395
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.925,53.911,55.386,56.842,58.106,58.989,59.76,60.263,60.906,61.06,61.53
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,902.010759067388,1037.77565157218,1239.22709745709,1362.99498323368,1372.91526173161,1387.12632595026,1408.13945253431,3445.44941020134,2270.89531874302,2184.52155388801,2059.63704025274
Zimbabwe,ZWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.47575283,8.081707,6.91838741,7.11022186,8.1335125,7.45204067,7.25845575,6.17448902,4.67327976,3.23268151,2.95440102
Zimbabwe,ZWE,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,100.09812912727,99.1726387639853,98.2478143871674,97.2290747819179,95.7340946958404,94.3341728822186,93.755201992062,93.4270967154238,93.6125855639325
Zimbabwe,ZWE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,92,97,93,92,86,95,90,88,85,85
Zimbabwe,ZWE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,85.2,77.2,68,62.6,59.8,59.2,57.5,56.7,56.3,58.6,61.7
Zimbabwe,ZWE,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,16.3,16,15.6,15.3,14.9,14.5,14.1,13.6,13.1,12.5,12
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,13356548,13595424,13817887,14013808,14207359,14399013,14600294,14812482,15034452,15271368,15526888
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.8272792062821,59.2000040300701,60.2495123598467,60.895739752772,61.251436015671,61.713030523495,62.1679813169199,62.5912750961501,63.3306913582336,63.8572612837043,63.7664840026943
